Statistical profiling result from isolate-0x138008000-24751-v8.log, (3160 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    9.2%      LazyCompile: *Readable node:internal/streams/readable:181:18
      6  100.0%        LazyCompile: *ReadStream node:internal/fs/streams:148:20
      6  100.0%          LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      6  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      5    7.7%      LazyCompile: *end node:_http_outgoing:833:45
      5  100.0%        Function: ^onend node:internal/streams/readable:691:17
      5  100.0%          LazyCompile: *onceWrapper node:events:634:21
      5  100.0%            LazyCompile: *endReadableNT node:internal/streams/readable:1339:23
      5    7.7%      Function: ^onDestroy node:internal/streams/destroy:73:21
      4   80.0%        LazyCompile: *destroy node:internal/streams/destroy:32:17
      2   50.0%          LazyCompile: *onceWrapper node:events:634:21
      1   50.0%            LazyCompile: *finish node:internal/streams/writable:745:16
      1   50.0%            LazyCompile: *emit node:events:470:44
      2   50.0%          LazyCompile: *endReadableNT node:internal/streams/readable:1339:23
      2  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1   20.0%        Function: ^<anonymous> node:internal/fs/streams:114:34
      1  100.0%          LazyCompile: *<anonymous> node:fs:188:10
      2    3.1%      Function: ^resOnFinish node:_http_server:788:21
      2  100.0%        LazyCompile: *emit node:events:470:44
      2  100.0%          Function: ^onFinish node:_http_outgoing:828:18
      2  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    1.5%      Function: ^onFinish node:internal/streams/writable:665:20
      1  100.0%        Function: ^afterShutdown node:net:451:23
      1    1.5%      Function: ^endReadable node:internal/streams/readable:1329:21
      1  100.0%        LazyCompile: *Readable.read node:internal/streams/readable:394:35
      1  100.0%          LazyCompile: *resume_ node:internal/streams/readable:985:17
      1  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    1.5%      Function: ^emitReadable node:internal/streams/readable:563:22
      1  100.0%        LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
      1  100.0%          Function: ^Readable.push node:internal/streams/readable:227:35
      1  100.0%            Function: ^parserOnMessageComplete node:_http_common:147:33
      1    1.5%      Function: ^construct node:internal/streams/destroy:225:19
      1  100.0%        Function: ^Readable node:internal/streams/readable:181:18
